wavelength [nm],min loss [dB],max loss [dB]
1525.0000245341441,-53.0015824,-65.2303748
1525.0012646411478,-51.2053974,-67.0550499
1525.002504750168,-59.3420038,-70.5483533
1525.0037448612056,-49.4156382,-52.7866389
1525.0049849742597,-54.1889472,-69.6592446
1525.0062250893309,-50.4876592,-63.4654849
1525.0074652064188,-48.0483678,-61.8983518
1525.0087053255238,-51.4377387,-65.4067653
1525.0099454466456,-50.4443891,-58.543142
1525.0111855697844,-50.888603,-56.2209217
1525.0124256949398,-50.5068843,-64.6461495
1525.0136658221124,-49.4919062,-53.9260765
1525.014905951302,-58.477856,-69.9893732
1525.0161460825084,-56.697856,-66.876509
1525.0173862157314,-49.7158167,-58.4832188
1525.0186263509718,-50.4485259,-54.0584746
1525.019866488229,-49.3503278,-52.1393305
1525.0211066275033,-51.8118779,-64.467249
1525.0223467687943,-56.5460688,-75.5866912
1525.0235869121025,-59.465064,-66.9948639
1525.0248270574273,-57.7759858,-67.2575279
1525.0260672047693,-55.9404903,-56.7981563
1525.0273073541282,-51.5798609,-60.5364164
1525.0285475055043,-50.4740332,-56.9898641
1525.029787658897,-49.7548114,-64.9426732
1525.0310278143072,-49.4683119,-60.4503279
1525.032267971734,-48.3523037,-55.1836608
1525.033508131178,-54.0083169,-75.5985717
1525.0347482926386,-52.4567952,-69.3970637
1525.0359884561167,-50.859391,-67.4948663
1525.0372286216116,-51.1939202,-61.9753427
1525.0384687891235,-51.0798698,-66.8447994
1525.0397089586525,-53.1054813,-77.8014289
1525.0409491301984,-52.9855895,-72.3249129
1525.0421893037615,-49.4292356,-58.530575
1525.0434294793415,-50.044382,-78.4033942
1525.0446696569386,-51.5125672,-67.560583
1525.0459098365527,-49.5469119,-52.7951725
1525.0471500181839,-46.7569887,-53.0155056
1525.0483902018323,-49.4940037,-61.4300743
1525.0496303874975,-56.5760812,-73.7500281
1525.05087057518,-56.9912617,-74.4266343
1525.0521107648792,-54.2376477,-69.8266362
1525.053350956596,-50.1894097,-61.3108785
1525.0545911503293,-50.7178932,-72.7820229
1525.0558313460801,-55.7431198,-62.7432305
1525.057071543848,-52.7235809,-54.5284203
1525.0583117436329,-48.2730407,-61.5382476
1525.0595519454348,-55.8901612,-65.2202703
1525.060792149254,-53.0875506,-60.6778004
1525.06203235509,-51.2124231,-70.0756954
1525.0632725629434,-54.7112025,-63.7189313
1525.0645127728137,-54.6961965,-70.1933323
1525.0657529847015,-51.824193,-62.689768
1525.066993198606,-50.2892258,-75.1354994
1525.0682334145279,-52.1301706,-60.825841
1525.0694736324667,-54.3717087,-60.3503834
1525.070713852423,-51.0295668,-59.7505596
1525.0719540743962,-54.2948404,-73.1445236
1525.0731942983866,-58.5550627,-71.8486826
1525.0744345243943,-56.6458778,-64.3393336
1525.075674752419,-54.8799808,-67.6608019
1525.076914982461,-53.6629577,-64.8571367
1525.07815521452,-48.1546766,-71.5077141
1525.0793954485962,-47.7556373,-54.8851549
1525.0806356846897,-51.7699718,-62.297433
1525.0818759228005,-52.3249847,-59.0522698
1525.083116162928,-52.2077502,-63.0946353
1525.0843564050733,-52.8830584,-74.8172989
1525.0855966492354,-55.9684218,-73.4832514
1525.0868368954148,-49.1559012,-57.1901562
1525.0880771436114,-51.9864772,-62.523156
1525.0893173938255,-51.1127541,-68.0900643
1525.0905576460564,-49.8650195,-54.5897442
1525.0917979003048,-54.9843759,-61.0172648
1525.0930381565702,-53.777535,-68.010974
1525.094278414853,-51.9915442,-61.599239
1525.095518675153,-53.240482,-71.804086
1525.0967589374704,-49.4976629,-70.3910269
1525.097999201805,-51.1027297,-67.2252333
1525.0992394681568,-52.1201827,-62.6840602
1525.1004797365258,-54.2463602,-72.5557979
1525.1017200069123,-51.9090041,-66.3187371
1525.1029602793158,-52.1907779,-82.7158612
1525.1042005537367,-49.4789152,-66.6520558
1525.1054408301748,-48.2080552,-56.6730587
1525.1066811086303,-49.9710762,-63.4251418
1525.1079213891028,-50.6864405,-73.6867082
